questionid,questionvalue,responselayout,mustenterflag,regtype,pollingtypecode,adddate,demquestion,responsevalue,responsedefaultvalue
QUES001,Communication Preferences,Checkbox,N,Attendee/Regtype,Registration,1/3/2022,USOPTOEP,"Please check here if you do not want the show organizer to provide your contact information, including email address, mailing address, and phone number to exhibitors or show partners about products that may be of interest to you.",1
QUES001,Communication Preferences,Checkbox,N,Attendee/Regtype,Registration,1/3/2022,USOPTOEP,no response,x
QUES002,Communication Preferences,Checkbox,N,Attendee/Regtype,Registration,1/3/2022,INTLOPTA,"Please check here if you would like to receive email regarding other events, education, and resources. You can opt out at any time by unchecking this box or sending an email to infocomm@compusystems.com.",1
QUES002,Communication Preferences,Checkbox,N,Attendee/Regtype,Registration,1/3/2022,INTLOPTA,No Response,x
QUES003,Stream,Checkbox,Y,Attendee/Regtype,Registration,1/3/2022,STREAM,"By checking this box, you will have automatic access to content streamed from the show",Y
QUES003,Stream,Checkbox,Y,Attendee/Regtype,Registration,1/3/2022,STREAM,No Response,x
QUES004,"Pursuant to the Americans with Disabilities Act, I require special accommodations at the event location and/or hotel. Please indicate type of accommodations below.",CheckboxList,N,Attendee/Regtype,Registration,1/3/2022,ADA,Auditory,1
QUES004,"Pursuant to the Americans with Disabilities Act, I require special accommodations at the event location and/or hotel. Please indicate type of accommodations below.",CheckboxList,N,Attendee/Regtype,Registration,1/3/2022,ADA,Visual,2
QUES004,"Pursuant to the Americans with Disabilities Act, I require special accommodations at the event location and/or hotel. Please indicate type of accommodations below.",CheckboxList,N,Attendee/Regtype,Registration,1/3/2022,ADA,Mobility,3
QUES004,"Pursuant to the Americans with Disabilities Act, I require special accommodations at the event location and/or hotel. Please indicate type of accommodations below.",CheckboxList,N,Attendee/Regtype,Registration,1/3/2022,ADA,Event Location Accommodations,4
QUES004,"Pursuant to the Americans with Disabilities Act, I require special accommodations at the event location and/or hotel. Please indicate type of accommodations below.",CheckboxList,N,Attendee/Regtype,Registration,1/3/2022,ADA,No Response,x
QUES005,What is the primary business of the company/organization you work for? ,CheckboxList,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,Architecture/Engineering/Planning/Design,AA. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,AV Integration/ Installation,AK. 
QUES005,What is the primary business of the company/organization you work for? ,Dropdown,Y,Attendee/Regtype,Registration,1/3/2022,BUSINESS,AV Manufacturer/Component Manufacturer,AG. 
